description,brand,category
PLAIN BREAD CRUMBS,Colonna Brothers,Bread & Muffin Mixes
"BLUEBERRY SNACK PIES, BLUEBERRY","Big Y Foods, Inc.","Cakes, Cupcakes, Snack Cakes"
"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",Unknown,Vegetables and Vegetable Products
PECAN CHIPS,Target Stores,"Popcorn, Peanuts, Seeds & Related Snacks"
"BLACK ANGUS BEEF BURGERS, BLACK ANGUS BEEF",Kohl Corporation,Frozen Patties and Burgers
THIN & CRISPY PIZZA,"Newman's Own, Inc.",Pizza
"CHOCOLATE CHIP COOKIES, CHOCOLATE CHIP",Family Dollar Stores Inc.,Cookies & Biscuits
"McDONALD'S, Hotcakes (plain)",Unknown,Fast Foods
"COTTON CANDY FLAVORED BUBBLE GUM, COTTON CANDY",Sweet Candy Company,Candy
"Cocoa powder, not reconstituted",Unknown,Not included in a food category
"SWEET POTATO STRAIGHT CUT FRIES WITH SEA SALT, SWEET POTATO",The Pictsweet Company,"French Fries, Potatoes & Onion Rings"
"Cookie, chocolate sandwich, reduced fat",Unknown,Cookies and brownies
CHOCOLATE,Ross Acquisition Inc.,Chocolate
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACKS, PEPPERONI","Safeway, Inc.",Pizza
"GULLON, VITALDAY, HAZELNUT SANDWICH BISCUIT",Wholespice,Cookies & Biscuits
"ORANGE SODA, ORANGE","Meijer, Inc.",Soda
BREAD PUDDING MIX,"HAWAII'S BEST HAWAIIAN HAUPIA, LLC",Puddings & Custards
"CRUNCHY CHEESE SNACKS, CRUNCHY CHEESE","Schnuck Markets, Inc.",Other Snacks
"CHOCOLATE COOKIES & DOUBLE CHOCOLATE FROSTING TRAYS, CHOCOLATE COOKIES & DOUBLE CHOCOLATE FROSTING","General Mills, Inc.",Cookies & Biscuits
BANANA CHIPS,"D.S.D. Merchandisers, Inc.",Wholesome Snacks
CLUB SODA,"Associated Wholesale Grocers, Inc.",Soda
CRINKLE CUT FRENCH FRIED POTATOES,"Murry's, Inc.","French Fries, Potatoes & Onion Rings"
"ANGUS & BACON BEEF PATTIES WITH REAL BACON, ANGUS & BACON","Quaker Maid Meats, Inc.",Frozen Patties and Burgers
"CHOCOLATE ROLL CAKE, CHOCOLATE",Aida Sweets,"Cakes, Cupcakes, Snack Cakes"
WEDGE FRIES,Unknown,"French Fries, Potatoes & Onion Rings"
"FRESHERIZED FOODS, SPICY GUACAMOLE",Hormel Foods Corporation ,Dips & Salsa
"ICE CREAM, BUTTER PECAN","Iga, Inc.",Ice Cream & Frozen Yogurt
GARLIC CHICKEN ALFREDO PIZZA,"Supervalu, Inc.",Pizza
"ORIGINAL POWDERED FOOD, ORIGINAL","Rosa Foods, Inc. ",Meal Replacement Supplements
"CHOCOLATE CHIP COOKIES, CHOCOLATE CHIP",Nestle USA Inc.,Cookies & Biscuits
"Infant formula, MEAD JOHNSON, NEXT STEP, PROSOBEE, LIPIL, ready to feed, with ARA and DHA",Unknown,Baby Foods
DUPLEX SANDWICH COOKIES,The Kroger Co.,Cookies & Biscuits
"MUSHROOM & ONION 100% GRASS-FED BEEF BURGER BLENDS, MUSHROOM & ONION",Teton Waters Ranch ,Frozen Patties and Burgers
"CHEESE PIZZA, CHEESE",Palermo Villa Inc.,Pizza
"FOOD LION, BAGELS, BLUEBERRY, BLUEBERRY",Food Town Stores Inc.,Breads & Buns
"VITALITY SNACK, BLACKBERRY BLISS","Mamma Chia, LLC",Wholesome Snacks
"SPARTAN, LEMON SANDWICH CREMES COOKIES",McIlhenny Company,Cookies & Biscuits
"PINEAPPLE SODA, PINEAPPLE","Safeway, Inc.",Soda
"SHOESTRING FRIES FRENCH FRIED POTATOES, SHOESTRING FRIES",Harris-Teeter Inc.,"French Fries, Potatoes & Onion Rings"
"Pretzels, soft, from frozen, unsalted",Unknown,Pretzels/snack mix
"SIRO, GO4FRIES, POTATO FRIES, ORIGINAL, ORIGINAL",Penang International Inc.,"Chips, Pretzels & Snacks"
"Huckleberries, raw (Alaska Native)",Unknown,American Indian/Alaska Native Foods
"SILVER ICE PURE ZERO SUGAR FREE ENERGY DRINK, SILVER ICE","PepsiCo, Inc. (Rockstar)",Soda
"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, batter",Unknown,Poultry Products
"FORTUNE COOKIES, FORTUNE","Conagra Brands, Inc.",Cookies & Biscuits
"CHOCOLATEY CHIP FLAVORED GRANOLA BARS, CHOCOLATEY CHIP",The Kellogg Company ,"Snack, Energy & Granola Bars"
"Potato tots, fast food / restaurant",Unknown,French fries and other fried white potatoes
"Bread, egg, Challah, toasted",Unknown,Yeast breads
"CUBAN ONION PIZZA, CUBAN ONION","Ultra Orange, LLC",Other Deli
WASABI PEAS SAVORY SNACKS,"Waymouth Farms, Inc.","Chips, Pretzels & Snacks"
MINI CANDY CANES,SANTA'S TREATS,Candy
"SODA, GRAPE","Giant Eagle, Inc.",Soda
"COOKIES 'N' CREME DROPS, COOKIES 'N' CREME",The Hershey Company,Chocolate
"Cookies, molasses",Unknown,Baked Products
"GRAND ICE CREAM, CHOCOLATE",Dreyer's Grand Ice Cream Inc.,Ice Cream & Frozen Yogurt
"KEY FOOD, WHOLE QUEEN OLIVES","Key Food Stores Co-Operative, Inc.","Pickles, Olives, Peppers & Relishes"
"FLATBREAD PIZZA, BBQ RECIPE CHICKEN",Nation Enterprises Inc.,Other Deli
BLACK CHERRY POP SODA,"Ashleigh, Inc.",Soda
"Glutino, Gluten Free Cookies, Vanilla Creme",Unknown,Baked Products
"BALL PARK, FLAME GRILLED TURKEY PATTY",The Hillshire Brands Company,Frozen Patties and Burgers
"DOUBLE CHOCOLATE CEREAL, CHOCOLATE",The Kellogg Company ,Cereal
"VANILLA ICE CREAM, VANILLA",Versteeg's Bakkerijen Barnevel,Ice Cream & Frozen Yogurt
"ORGANIC ICE CREAM, VANILLA","Publix Super Markets, Inc.",Ice Cream & Frozen Yogurt
ITALIAN SAUSAGE PIZZA,Mystic Pizza LLC,Pizza
"CHOCOLATE THE ORIGINAL MARSHMALLOW SANDWICHES, CHOCOLATE",Chattanooga Bakery Inc,Cookies & Biscuits
"LOW FAT SNACK, CARAMEL APPLE",The Hershey Company,Candy
CHOCOLATE CANDY,"Progressive Balloons, Inc.",Candy
"CRAFT SODA, GINGER BEER",Raley's,Soda
"Egg substitute, omelet, scrambled, or fried, with cheese, meat, and vegetables",Unknown,Eggs and omelets
SNACK BOX BEEF STIX & COLBY,Nash Finch Company,Lunch Snacks & Combinations
"SASAYA, COCONUT DRINK",SASAYA,"Fruit & Vegetable Juice, Nectars & Fruit Drinks"
"COOKIE DOUGH ICE CREAM WITH COOKIE DOUGH BITES & DELICIOUS PIECES OF CHOCOLATE FUDGE, COOKIE DOUGH",Foster Dairy Farms,Ice Cream & Frozen Yogurt
"PREMIUM ICE CREAM, HOOFPRINTS",Country Dairy Inc.,Ice Cream & Frozen Yogurt
"SMARTIES CANDY, SMARTIES",American Food Products Inc,Candy
"Beverages, Horchata, as served in restaurant",Unknown,Beverages
"TURKEY SWISS SANDWICH, TURKEY SWISS",The Ranch,Prepared Subs & Sandwiches
"The Pub All-Natural* Flame Grilled USDA Choice Angus Beef Chuck Steak Burger, 4 oz",Tyson Foods Inc.,Meat/Poultry/Other Animals - Prepared/Processed
"Cream cheese, fat free",Unknown,"Cream cheese, sour cream, whipped cream"
"FRIED CHICKEN WITH LOADED MASHED POTATOES BOWL WITH GREEN BEANS, CORN, AND LOADED MASHED POTATOES & GRAVY, FRIED CHICKEN WITH LOADED MASHED","Overhill Farms, Inc.",Frozen Dinners & Entrees
"V8 +Energy, Healthy Energy Drink, Natural Energy from Tea, Black Cherry, 8 Ounce Can",CAMPBELL SOUP COMPANY,Non Alcoholic Beverages  Ready to Drink
"CHERRY LIMEADE PERFORMANCE ENERGY DRINK, CHERRY LIMEADE","Kill Cliff, LLC","Energy, Protein & Muscle Recovery Drinks"
"COOKIES 'N' CREME BAR, COOKIES 'N' CREME",The Hershey Company,Candy
"PIZZA FLAVORED STIX BAKED CRISPY SNACK STICKS, PIZZA",The Kellogg Company ,"Popcorn, Peanuts, Seeds & Related Snacks"
TAMARIND SODA,"Jarritos, Inc. ",Soda
Mango nectar,Unknown,Fruit drinks
SPICED WAFERS COOKIES,"Sweetzels Cookies, Inc.",Cookies & Biscuits
DRIED PLANTAIN CHIPS,"Giant Eagle, Inc.",Wholesome Snacks
"SMOKED KIPPER SNACKS, SMOKED","Crown Prince, Inc.",Canned Seafood
RIB SANDWICH,"Orion Enteprises, Inc.",Prepared Subs & Sandwiches
"CHOCOLATE CHIP GLUTEN FREE COOKIES, CHOCOLATE CHIP","Emily Kate's Bakery, LLC",Cookies & Biscuits
"Snacks, granola bars, soft, uncoated, nut and raisin",Unknown,Snacks
VEGGIE CHIPS,"Natural Intentions, Inc.","Chips, Pretzels & Snacks"
SODA WATER COCKTAIL MIXER,"Proof & Union, LLC",Alcohol
"COOKIES 'N' CREME CRUNCHERS, COOKIES 'N' CREME",The Hershey Company,Cookies & Biscuits
"CHOCOLATE FRUIT DIP, CHOCOLATE",T. Marzetti Company,Dips & Salsa
"Babyfood, peas and brown rice",Unknown,Baby Foods
"COOKIES AND CREAM ARTISAN ICE CREAM, COOKIES AND CREAM","Fine Dining Restaurant Group, LLC",Ice Cream & Frozen Yogurt
Chewing gum,Unknown,Candy not containing chocolate
"Babyfood, cereal, rice, with applesauce and bananas, strained",Unknown,Baby Foods
"COOKIES N' CREAM LIGHT ICE CREAM, COOKIES N' CREAM","Wells Enterprises, Inc.",Ice Cream & Frozen Yogurt
"ORGANIC TRADITIONAL PIZZA SAUCE, TRADITIONAL","Giant Eagle, Inc.",Prepared Pasta & Pizza Sauces
"BANQUET Chicken Nuggets And Fries, 5 OZ",Conagra Brands Inc,Ready-Made Combination Meals
"BAKED SNACK CRACKERS, EXTRA CHEDDAR","Supervalu, Inc.",Flavored Snack Crackers
"Squirrel, ground, meat (Alaska Native)",Unknown,American Indian/Alaska Native Foods
CARROT CHIPS,Target Stores,Pre-Packaged Fruit & Vegetables
"Sandwich, Bun, Whole Grain, 100% Beef Chburger, Individually Wrapped, Commodity, 3.75""",Bake Crafters Food Company,Sandwiches/Filled Rolls/Wraps
"CHOCOLATE CAKE MIX, CHOCOLATE",Blue Diamond Growers,"Cake, Cookie & Cupcake Mixes"
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted",Unknown,Baby Foods
"KRASDALE, CHUNKY COOKIES, CHOCOLATE CHIP, CHOCOLATE CHIP","Krasdale Foods, Inc.",Cookies & Biscuits
"CHOCOLATE CHUNK, CHOCOLATE",Rich Products Corporation,Cookies & Biscuits
COOKIES & CREAM PREMIUM ICE CREAM,"Hy-Vee, Inc.",Ice Cream & Frozen Yogurt
"STEAKHOUSE STYLE BURGER JUICY, STEAKHOUSE STYLE",Kellogg Company,Frozen Patties and Burgers
"VEGETARIAN PIZZA, VEGETARIAN",Butch's Pizza,Pizza
"CARL'S PEPPERONI FLAVORED PIZZA SAUCE ULTRA-PREMIUM PIZZA SAUCE, CARL'S PEPPERONI FLAVORED PIZZA SAUCE","Del Grosso Foods, Inc.",Prepared Pasta & Pizza Sauces
"Babyfood, dessert, fruit pudding, orange, strained",Unknown,Baby Foods
"THE COOKIE DOUGH CAFE, GOURMET EDIBLE COOKIE DOUGH","JuJu Bakes, LLC",Crusts & Dough
COOKIE BUTTER,Corona - Lotus N.V.,Cookies & Biscuits
"BANANA CHIPS, BANANA","CVS Pharmacy, Inc.",Wholesome Snacks
"BREADED NASHVILLE STYLE HOT SHRIMP, BREADED NASHVILLE STYLE HOT","Wal-Mart Stores, Inc.",Frozen Fish & Seafood
SWEET FRIED PEPPERS & ONIONS,Lee-Thompson-Fawcett Company,"Pickles, Olives, Peppers & Relishes"
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Unknown,Vegetables and Vegetable Products
CRUNCH! COOKIES,Fancypants Baking Co.,Cookies & Biscuits
"Babyfood, rice cereal, dry, EARTHS BEST ORGANIC WHOLE GRAIN, fortified only with iron",Unknown,Baby Foods
"CHOCOLATE CHIP FLAVORED COOKIE DOUGH, CHOCOLATE CHIP","Supervalu, Inc.",Ice Cream & Frozen Yogurt
"INTERMITTENT FASTING SNACK SHAKE MIX, DOUBLE CHOCOLATE CAKE, DOUBLE CHOCOLATE CAKE",KSF Acquisition Corporation,"Energy, Protein & Muscle Recovery Drinks"
ANGEL FOOD CAKE,"Wal-Mart Stores, Inc.","Cakes, Cupcakes, Snack Cakes"
"COOKIES, CHOCOLATE CHUNK","Wal-Mart Stores, Inc.",Cookies & Biscuits
"MINT CHOCOLATE CHIP CHEWY REAL CHOCOLATE CHIP COOKIES, MINT CHOCOLATE CHIP",Nabisco Biscuit Company,Cookies & Biscuits
"CHIPS DELUXE MIGHTY TINY CHOCOLATE CHIP COOKIES, CHOCOLATE CHIP",Keebler Company,Cookies & Biscuits
FUDGE SWIRL SANDWICHES,"Oregon Ice Cream, LLC",Ice Cream & Frozen Yogurt
"BISCUIT SANDWICHES, BACON, EGG & CHEESE",Hannaford Bros. Co.,"Breakfast Sandwiches, Biscuits & Meals"
"CRISPY BREADED MOZZARELLA STICKS, CRISPY BREADED",Cachere Distributing Inc.,Frozen Appetizers & Hors D'oeuvres
"SOUL FOOD SEASONING, SOUL FOOD",Family Dollar Stores Inc.,"Seasoning Mixes, Salts, Marinades & Tenderizers"
"PEPPERONI PIZZA WRAPPED IN A CRISPY BROWNED CRUST PIZZA BITES, PEPPERONI","Supervalu, Inc.",Pizza
CHEDDAR SQUARES BAKED SNACK CRACKERS,"General Mills, Inc.",Crackers & Biscotti
"MATERNE, GOGO SQUEEZ, FAST FRUIT, APPLE, RASPBERRY, CRANBERRY, APPLE, RASPBERRY, CRANBERRY","CIMA Technology, Inc.",Wholesome Snacks
"CHOCOLATE CREMEOS SANDWICH, CHOCOLATE",Lieber Chocolate & Food Products Co.,Cookies & Biscuits
"CAFFEINE FREE SODA, FRUIT PUNCH",Piggly Wiggly Company,Soda
"PERRY'S ICE CREAM, PREMIUM ICE CREAM, CHOCOLATE STOUT, CHOCOLATE STOUT","Perry's Ice Cream Company, Inc.",Ice Cream & Frozen Yogurt
OBSESSION COOKIES,COOKIES BERGEN,Cookies & Biscuits
"KROGER, CHOCOLATE SANDWICH COOKIES, CHOCOLATE, CHOCOLATE",The Kroger Co.,Cookies & Biscuits
"STRAWBERRY BANANA ENERGY DRINK, STRAWBERRY; BANANA",Tropical Cheese Industries Inc,Sport Drinks
"ICE CREAM, CHOCOLATE",United Dairy Farmers Inc,Ice Cream & Frozen Yogurt
ORGANIC ENERGY DRINK,Voice Of The Swan,Other Drinks
"BREAD & BUTTER ORGANIC CHIPS, BREAD & BUTTER","Meijer, Inc.","Pickles, Olives, Peppers & Relishes"
PIZZA SAUCE,Just Add Tomatoes LLC,"Seasoning Mixes, Salts, Marinades & Tenderizers"
"PIZZA EMPANADAS, PIZZA","Goya Foods, Inc. ",Frozen Appetizers & Hors D'oeuvres
"CHOCOLATE WITH CURRANTS, DARK CHOCOLATE & CURRANTS",Healthy Hight's,Chocolate
"SODA, ORANGE","Dr. Pepper/Seven Up, Inc.",Soda
"Ice cream sundae, hot fudge topping",Unknown,Ice cream and frozen dairy desserts
"Sandwich wrap, NFS",Unknown,Deli and cured meat sandwiches
"VIDALIA ONION BURGERS, VIDALIA ONION",Flanders Provision Company LLC,Frozen Patties and Burgers
"NATURAL ENERGY DRINK, LITE","Nine West Holdings, Inc.",Soda
FRIED RICE,Riviana Foods Inc.,"Entrees, Sides & Small Meals"
"Broccoli, cooked, as ingredient",Unknown,Not included in a food category
"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",Unknown,Fast Foods
"ENERGY PINEAPPLES, BANANAS, BLUEBERRIES, COCONUT, CINNAMON SUPERFOOD SMOOTHIE KIT, ENERGY","Blendtopia, Inc,",Frozen Fruit & Fruit Juice Concentrates
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,Unknown,Dairy and Egg Products
BREADED MOZZARELLA STICKS,Rich Products Corporation,Frozen Appetizers & Hors D'oeuvres
"CHOCOLATE MILK, CHOCOLATE","DFA Dairy Brands, LLC",Milk
"ORIGINAL SALMON ATLANTIC BURGERS, ORIGINAL SALMON",Changing Seas,Frozen Patties and Burgers
"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",Unknown,Snacks
"Tea, iced, instant, green, unsweetened",Unknown,Tea
HOLIDAY SNACK TIN,"Hickory Farms, LLC",Lunch Snacks & Combinations
S'M GRAHAM FLAVORED SANDWICH COOKIES,Unknown,Crackers & Biscotti
"VANILLA MOCHI ICE CREAM, VANILLA","Wismettac Asian Foods, Inc.",Ice Cream & Frozen Yogurt
"CHOCOLATE ROLL, CHOCOLATE",Attune Records,"Croissants, Sweet Rolls, Muffins & Other Pastries"
"ORGANIC GRASS-FED BEEF BURGERS WITH CAULIFLOWER, LENTILS, SPINACH & BUTTERNUT SQUASH, BEEF",Hormel Foods Corporation ,Frozen Patties and Burgers
"SHUR SAVING, COOKIES & CREAM ICE CREAM","Western Family Foods, Inc.",Ice Cream & Frozen Yogurt
MINIATURES CHOCOLATE CANDY,The Hershey Company,Candy
"CHOCOLATE ICE CREAM + CHOCOLATE COOKIE KILLER SAMMIES, CHOCOLATE","Edible Armstrong, LLC ",Ice Cream & Frozen Yogurt
FRUIT SNACKS,"Bruno's Supermarkets, Inc.",Candy
CANDY,Nestle USA Inc.,Candy
SALMON BURGERS,"Whole Foods Market, Inc.",Frozen Patties and Burgers
"JOHNVINCE FOODS, CALIFORNIA WALNUT PIECES","Jo-Lee Food Products, Inc.","Popcorn, Peanuts, Seeds & Related Snacks"
"Lamb, New Zealand, imported, rack - fully frenched, separable lean only, cooked, fast roasted",Unknown,"Lamb, Veal, and Game Products"
"QWACKERS, GLUTEN FREE CRACKERS, CHEESE PIZZA, CHEESE PIZZA",Gluten Free Kids LLC,Flavored Snack Crackers
"Chicken tenders or strips, breaded, from restaurant",Unknown,"Chicken patties, nuggets and tenders"
"ICE CREAM, VANILLA","Weis Markets, Inc.",Ice Cream & Frozen Yogurt
"Chicken, broilers or fryers, thigh, meat only, cooked, fried",Unknown,Poultry Products
"WHITE ENRICHED SANDWICH BREAD, WHITE",Target Stores,Breads & Buns
"Ice creams, vanilla, rich",Unknown,Sweets
"SANDWICH, CHEESE",Wasabrod Ab Sweden,Crackers & Biscotti
"KFC, Fried Chicken, EXTRA CRISPY, Wing, meat and skin with breading",Unknown,Fast Foods
"Late July Snacks, Jalapeno Lime Tortilla Chips, 2 Oz Snack Bag",Snyder's-Lance INC.,Snacks
"Lance Sandwich Crackers, Captain's Wafers Cream Cheese and Chives, 6 Packs, 4 Sandwiches Each",Snyder's-Lance INC.,Biscuits/Cookies
"ARCTIC SNOW CONE FLAVORED SUPERHUMAN PERFORMANCE ENERGY DRINK, ARCTIC SNOW CONE","Woodbolt Distribution, LLC",Soda
"SPARKLING SODA, VANILLA",L&M Records,Soda
BBQ Pork Rib Sandwich,Tyson Foods Inc.,Meat/Poultry/Other Animals  Prepared/Processed
"SODA, ZESTY ORANGE","Sipp Eco Beverage Co., Inc.",Soda
"Infant Formula, MEAD JOHNSON, ENFAMIL, Newborn, with ARA and DHA, powder",Unknown,Baby Foods
"PIZZA ORGANIC SAUCE, PIZZA",Glencourt Inc.,Prepared Pasta & Pizza Sauces
"SANDWICH AMERICAN IMITATION PASTEURIZED PROCESS CHEESE FOOD SLICES, SANDWICH",H E Butt Grocery Company,Cheese
"Bread, gluten-free, white, made with tapioca starch and brown rice flour",Unknown,Baked Products
ORNAMENT COOKIES,NOT A BRANDED ITEM,Cookies & Biscuits
TORTILLA ROUNDS CHIPS,Frito-Lay Company,"Chips, Pretzels & Snacks"
"CHOCOLATE CHIP TRUFFLE CRUMB CAKES, CHOCOLATE CHIP","MomoMilk, LLC dba Milk Bar","Cakes, Cupcakes, Snack Cakes"
"THIN CRUST PIZZA, MOZZARELLA & PESTO",The Schwan Food Company,Pizza
ALOE VERA DRINK,Unknown,"Fruit & Vegetable Juice, Nectars & Fruit Drinks"
"CHOCOLATE BROWNIE BITES, CHOCOLATE",European Confections Inc.,"Cakes, Cupcakes, Snack Cakes"
"PINEAPPLE DRINK, PINEAPPLE",John P. Miranda Import/export,"Fruit & Vegetable Juice, Nectars & Fruit Drinks"
"TURKEY BURGERS, TURKEY","Bruno's Supermarkets, Inc.",Frozen Patties and Burgers
SNICKERDOODLE COOKIE,"7-Eleven, Inc.",Cookies & Biscuits
ALMONDS SNACKS,"Big Y Foods, Inc.","Popcorn, Peanuts, Seeds & Related Snacks"
"STRAWBERRY ICE CREAM, STRAWBERRY","Krasdale Foods, Inc.",Ice Cream & Frozen Yogurt
"KEY FOOD, WHOLE PEELED TOMATOES","Key Food Stores Co-Operative, Inc.",Tomatoes
GLUTEN FREE EXTRA CHEESE PIZZA,"West End Enterprises, LLC",Pizza
COOKIE DOUGH,Nestle USA Inc.,Crusts & Dough
"BLACK PEPPER AND BLEU CHEESE BEEF PATTIES, BLACK PEPPER AND BLEU CHEESE",Aldi Inc.,Frozen Patties and Burgers
KASHI PIZZA MEDITERRANEAN 12.7OZ,Kashi US,Vegetable Based Products / Meals - Not Ready to Eat (Frozen)
GUMMY CANDY,Family Dollar Stores Inc.,Candy
ORANGE SODA,"Dr. Pepper/Seven Up, Inc.",Soda
ENERGY DRINK,Monster Energy Company,Soda
"ICE CREAM, STRAWBERRY","Iga, Inc.",Ice Cream & Frozen Yogurt
"Pie, banana cream, prepared from recipe",Unknown,Baked Products
CORN BREAD MIX,Famous Products Inc.,"Cake, Cookie & Cupcake Mixes"
SODA,"Coca-Cola Bottling Company of Northern New England, Inc.",Soda
"CANDY, SOUR EGGS","Fenton Enterprises, Inc.",Candy
"FOOD LION, PARMESAN CHEESE",Food Town Stores Inc.,Cheese
REGULAR CUT FRENCH FRIED POTATOES,Stater Bros. Markets Inc.,"French Fries, Potatoes & Onion Rings"
WASABI PEAS SNACKS,Northampton Peanut Co.,"Chips, Pretzels & Snacks"
"YELLOW TOFU CURRY WITH THAI FRIED RICE, MEDIUM",CAFE SPICE,Other Deli
"WAFFLE FRIES FROZEN FRIED POTATOES, WAFFLE FRIES","Supervalu, Inc.","French Fries, Potatoes & Onion Rings"
"Beverages, fruit juice drink, greater than 3% juice, high vitamin C",Unknown,Beverages
"HOT MEGA SNACK STICKS, HOT","Monogram Meat Snacks, LLC",Other Snacks
GUM DROPS CANDY,Chase and Poe Candy Company,Candy
MISFORTUNE COOKIE,PECHKEKS,Cookies & Biscuits
"Yogurt, chocolate, nonfat milk",Unknown,Dairy and Egg Products
GOURMET CORN BREAD,"Fernando's Bakery, Inc.",Breads & Buns
"BLACK BEAR SANDWICH SPREAD, 8 OZ","Black Bear Enterprise, Inc.","Jam, Jelly & Fruit Spreads"
CHUNKY SIRLOIN BURGER SOUP,McIlhenny Company,Canned Soup
Fried okra,Unknown,Fried vegetables
"HFB CANDY, JELLY FISH CANDY",Healthy Food Brands LLC,Candy
"CIOLO FOODS, TRUFFLED RICOTTA DIP","Zoya, Inc.",Dips & Salsa
"PEANUT BUTTER CHIP BAR, PEANUT BUTTER CHIP","IQ BAR, Inc.","Snack, Energy & Granola Bars"
"HOMESTYLE PIZZA SAUCE, HOMESTYLE",Nash Finch Company,Prepared Pasta & Pizza Sauces
BUTTER PECAN ICE CREAM,Food City,Ice Cream & Frozen Yogurt
BREAD LOAF,"Wegmans Food Markets, Inc. ",Breads & Buns
BREADED MUSHROOMS,"Giant Eagle, Inc.",Frozen Appetizers & Hors D'oeuvres
SODA,"Wal-Mart Stores, Inc.",Soda
"PEANUT BUTTER CUP ICE CREAM MILKSHAKE, PEANUT BUTTER CUP ICE CREAM",Hershey Creamery Company,Ice Cream & Frozen Yogurt
ASSORTED ITALIAN COOKIES,Red Wing Dove Inc.,Cookies & Biscuits
"AMERICA'S FAVORITE SANDWICH SPREAD, AMERICA'S FAVORITE",Kraft Heinz Foods Company,Butter & Spread
"CRISP CRUST PIZZA, MEXICAN STYLE","General Mills, Inc.",Pizza
"ICE CREAM, FRENCH VANILLA","Safeway, Inc.",Ice Cream & Frozen Yogurt
"STRAWBERRY MILKSHAKE CEREAL, STRAWBERRY; MILKSHAKE",The Kellogg Company ,Cereal
CHOCOLATE CHIP,Arthrocare Corporation,Cookies & Biscuits
"CHEESE & CHEDDAR SANDWICH CRACKERS, CHEESE; CHEDDAR",Keebler Company,Crackers & Biscotti
"GALAXY PREMIUM SUGAR COOKIE MIX, GALAXY COOKIES",Tylina Food Products Corporation,"Cake, Cookie & Cupcake Mixes"
"COOKIE DOUGH COOKIE KIT, COOKIE DOUGH",Pinnacle Foods Group LLC,Crusts & Dough
WHITE PIZZA DOUGH,"Aqualink Nevada, LLC",Crusts & Dough
"COOKIES 'N' CREME COOKIE BITES, COOKIES 'N' CREME",The Hershey Company,Cookies & Biscuits
"CHOCOLATE COCONUT CHIPS, CHOCOLATE",Bare Foods Co.,"Popcorn, Peanuts, Seeds & Related Snacks"
GUMMY CANDIES,Ferrara Candy Company,Candy
"Chives, raw",Unknown,Not included in a food category
"KFC, Popcorn Chicken",Unknown,Fast Foods
MERINGUE COOKIES,"Miss Meringue Cookies, LLC",Cookies & Biscuits
CANDY,"CVS Pharmacy, Inc.",Candy
Cascadian Farm Organic Straight Cut French Fries,GENERAL MILLS SALES INC.,Vegetables - Prepared/Processed
SNACKING CHOCOLATE,"Ripple Brand Collective, LLC",Candy
MILK CHOCOLATE CANDIES,"Weis Markets, Inc.",Other Snacks
"NATURALLY FLAVORED SODA, VANILLA",Dry Soda Co. ,Soda
ZERO SUGAR ENERGY DRINK,Unknown,Sport Drinks
"Snacks, yucca (cassava) chips, salted",Unknown,Snacks
"SODA, FRUIT PUNCH","C & C Cola Co., Inc.",Soda
"SUPERHUMAN PERFORMANCE ENERGY DRINK, FROZEN BOMBSICLE, FROZEN BOMBSICLE","Woodbolt Distribution, LLC",Soda
JELLY BEAN CANDIES,Scripture Candy,Candy
"ORIGINAL CHICHARRONES FRIED PORK SKINS, ORIGINAL","Snyder's-Lance, Inc.",Other Snacks
BREAD CRUMBS,Casa Imports Inc.,Bread & Muffin Mixes
"ORANGE SODA, ORANGE",BJ's Wholesale Club / Corporate Brands,Soda
"MAC'S, CHICHARRONES, SALT & PEPPER PORK SKINS, SALT & PEPPER PORK SKINS",Macs Old Plantation,Other Snacks
"DAVE'S KILLER BREAD, WHITE BREAD",Avb Corp.,Breads & Buns
"FRESH ANGUS GROUND BEEF BURGERS, BEEF",Burger Maker Co Inc,Other Meats
CAFFEINE FREE CLUB SODA,"Publix Super Markets, Inc.",Soda
"TACO BELL, Soft Taco with beef, cheese and lettuce",Unknown,Fast Foods
"SWEET POTATO WITH ANCIENT GRAINS APPLES & MAPLE CHICKEN PATTIES, SWEET POTATO WITH ANCIENT GRAINS APPLES & MAPLE",Bilinski Sausage Mfg. Co.,Frozen Patties and Burgers
"Pizza with pepperoni, from frozen, medium crust",Unknown,Pizza
"ENERGY DRINK FLAVORED GAMER GUMMIES GUMMY CANDY, ENERGY DRINK","7-Eleven, Inc.",Candy
"DIET SODA, GINGER ALE","Winn-Dixie Stores, Inc.",Soda
COCONUT CHIPS,Royal Feather Corp.,Wholesome Snacks
PREMIUM SPUMONI ICE CREAM,"Wells Enterprises, Inc.",Ice Cream & Frozen Yogurt
"COOKIE, CHOCOLATE CHIP","The Brownie Baker, Inc.",Cookies & Biscuits
"CHOCOLATE CHIP OATMEAL BITES, CHOCOLATE CHIP",US Soy,Cookies & Biscuits
