description,brand,category
BREADED PORK CHOPS,U S Environmental Protection,Other Meats
"PEPPERONI PIZZA, PEPPERONI",Unknown,Pizza
ASSORTED FRUIT CANDY,Ferrara Candy Company,Candy
"CHOCOLATE PUDDING, CHOCOLATE",Smart & Final Iris Corporation,Puddings & Custards
Bugles Original Crispy Corn Snacks,GENERAL MILLS SALES INC.,Snacks
"COOKIES & CREAM CAKES MIX, COOKIES & CREAM",Skratch Labs Inc. ,"Cake, Cookie & Cupcake Mixes"
VOODOO BATTERED FRIED PICKLES,Monogram Food Solutions LLC,Frozen Appetizers & Hors D'oeuvres
CAROB CHIP BAR,"Perfect Bar, LLC","Snack, Energy & Granola Bars"
"MIDWEST'S PREMIUM LEGACY, TURKEY BURGERS",Michigan Turkey Producers LLC,Frozen Patties and Burgers
"Peanuts, chocolate covered candy",Unknown,Candy containing chocolate
ORGANIC STRAIGHT CUT FRIES,"Whole Foods Market, Inc.","French Fries, Potatoes & Onion Rings"
"ICE CREAM, VANILLA","Foodtown, Inc.",Ice Cream & Frozen Yogurt
"FROSTED STRAWBERRY MILKSHAKE TOASTER PASTRIES, FROSTED STRAWBERRY MILKSHAKE",The Kellogg Company ,"Croissants, Sweet Rolls, Muffins & Other Pastries"
"DENNY'S, mozzarella cheese sticks",Unknown,Restaurant Foods
"ALASKA SEAFOOD, OCEAN BEAUTY SEAFOODS, SALMON BURGERS",Ocean Beauty Seafoods LLC,Frozen Patties and Burgers
"Frozen coffee drink, decaffeinated",Unknown,Coffee
WHEAT BREAD,"Supervalu, Inc.",Breads & Buns
ENERGY TRAIL MIX,Lunds Inc,"Popcorn, Peanuts, Seeds & Related Snacks"
OLD FASHION BREAD,"Perfection Bakeries, Inc.",Breads & Buns
"Bread, kneel down (Navajo)",Unknown,American Indian/Alaska Native Foods
"BARBECUE FLAVORED PORK RINDS FRIED PORK SKINS, BARBECUE","UTZ Quality Foods, LLC",Other Snacks
CABIN FEVER BREAD,U Snooze U Looze Productions,Breads & Buns
"BUFFALO SANDWICH SAUCE, BUFFALO","McCormick & Company, Inc.","Ketchup, Mustard, BBQ & Cheese Sauce"
"CHOCOLATE CHIP PROTEIN BAR, CHOCOLATE CHIP",Chicago Bar Company ,"Snack, Energy & Granola Bars"
RED VELVET CAFFEINATED ENERGY BAR,"Verb Energy, Inc.",Cereal
CREAM COOKIES,BRITANNIA,Cookies & Biscuits
THE ORIGINAL CANNOLI CHIPS,Golden Cannoli Shells Co. Inc,Cookies & Biscuits
VEGETABLE PIZZA,"Continental Airlines, Inc./chelsea Catering Division",Pizza
"RADICAL SKADATTLE ENERGY DRINK, RADICAL SKADATTLE","Vital Pharmaceuticals, Inc.",Soda
"FOOD LION, MASHED POTATOES",Food Town Stores Inc.,"Entrees, Sides & Small Meals"
"THE BREAD GARDEN, ARABIC PITA BREAD",Homestyle Bakery Inc. (Wash),Breads & Buns
MIXNUT CANDY,Caramelo Candy Inc.,Candy
"DARK CHOCOLATE CEREAL, CHOCOLATE",Catalina Snacks Inc.,Cereal
ASSORTED FESTIVE  COOKIES,Kid Tested Tunes,Cookies & Biscuits
NEAPOLITAN SANDWICHES,"Associated Wholesale Grocers, Inc.",Ice Cream & Frozen Yogurt
"PUDDING SNACKS, BUTTERSCOTCH BLISS",The Moran Group Incorporated,Puddings & Custards
"ROUNDY'S, BEEF PATTIES","Finlay Extracts & Ingredients USA, Inc.",Frozen Patties and Burgers
"STRAWBERRIES ICE CREAM, STRAWBERRIES",RoseBud Ice Cream,Ice Cream & Frozen Yogurt
"Candies, Tamarind",Unknown,Sweets
"COLOMBIANA, SODA, KOLA, KOLA",Kola-Colombiana Inc,Soda
"BREADED FLOUNDER FILLETS, BREADED",Price Chopper Supermarkets,Frozen Fish & Seafood
DELI BREADS SOURDOUGH,United States Bakery,Breads & Buns
"PRINCE WAFFLES, WAFFLES, CHOCOLATE CHIP, CHOCOLATE CHIP",The Raw Bakery,"Frozen Pancakes, Waffles, French Toast & Crepes"
"SPINACH PIZZA SNACKS, SPINACH",Amy's Kitchen Inc.,Pizza
DESIGNER COOKIE KIT,Little Waisted LLC,"Cake, Cookie & Cupcake Mixes"
VEGGIE PIZZA,"Sam Tell & Son, Inc",Pizza
PLAIN SANDWICH ROLLS,"Safeway, Inc.",Breads & Buns
"SANDWICHES, SAUSAGE, EGG & CHEESE ON A MUFFIN","Schnuck Markets, Inc.","Breakfast Sandwiches, Biscuits & Meals"
"CRISPY BREADED CHICKEN BREAST STRIPS WITH RIB MEAT, CRISPY BREADED",Perdue Farms Incorporated,Frozen Appetizers & Hors D'oeuvres
"CAFFEINE FREE GRAPE SODA, GRAPE",Nash Finch Company,Soda
CHICKEN BREAST PATTIES,Target Stores,Frozen Patties and Burgers
