PC1,PC2,PC3,Cluster_k2,Cluster_k6,Cluster_k5
-2.5546639461616785,-0.1432580449457018,-0.2805367836100076,0,2,1
-1.6771807866368027,1.6633736181724363,0.3801893849532903,0,2,1
-2.251277076457083,-0.0184184564475535,-0.3462579411757955,0,2,1
-1.5386826131985372,1.033069025784816,0.0527364472412389,0,2,1
-2.169977391878191,0.4831399684489065,-0.1437609575614935,0,2,1
-2.239583019809664,0.3767223737683267,-0.1675713014166339,0,2,1
-2.5348790244568007,-0.1425018750254814,-0.2811898086597253,0,2,1
-2.549046737121241,-0.12116916898769,-0.2679449561396181,0,2,1
-2.572666838768393,-0.1366902474872068,-0.2849859755485414,0,2,1
-2.5697891535765827,-0.1455644350591206,-0.2788666895906114,0,2,1
-2.5697891535765827,-0.1455644350591206,-0.2788666895906114,0,2,1
-2.102897882282172,0.5878033012353318,-0.1190597020134075,0,2,1
-2.1871363926239304,0.2336146688310681,-0.2567366479921925,0,2,1
-2.169977391878191,0.4831399684489065,-0.1437609575614935,0,2,1
-2.572666838768393,-0.1366902474872068,-0.2849859755485414,0,2,1
-2.230596840855616,-0.0096566397048582,-0.3511774675519332,0,2,1
-2.2298750927717332,-0.0091554219621472,-0.3514320141496493,0,2,1
-2.5697891535765827,-0.1455644350591206,-0.2788666895906114,0,2,1
1.2775510878925316,-0.1240208188369769,-0.3247885858080863,0,4,3
-2.1311307091746317,0.5433055997722913,-0.1298277728098239,0,2,1
-2.3994806757932508,0.1329272358420299,-0.2217131123263625,0,2,1
-2.574471209218139,-0.1379432906666414,-0.284349617076202,0,2,1
-2.0800781661847174,0.6285418704416632,-0.1063825372778297,0,2,1
-2.182395617881519,0.4662189941460521,-0.1462897044383073,0,2,1
0.8381626770483466,0.1129906995977029,-0.4752070788088317,0,4,3
0.0979801775314132,-0.1990073623359653,-0.2323298698245597,0,3,4
0.4276453260506747,-0.1979421031181525,-0.3201455719910173,0,3,4
-2.0654308381841457,0.6304165572807401,-0.1184567528855593,0,2,1
-2.3404889038116248,0.2236769013427965,-0.2010678870633452,0,2,1
-2.0800781661847174,0.6285418704416632,-0.1063825372778297,0,2,1
-2.0956804012385803,0.5928154776581265,-0.1216051611475635,0,2,1
0.867973739159652,-0.3622994206162342,-0.4950941566319115,0,4,3
0.867973739159652,-0.3622994206162342,-0.4950941566319115,0,4,3
