description,category,brand,calories,protein,fat,carbs,calories_per_protein,calories_per_fat,calories_per_carb,label
VEGAN CHEESE PIZZA,Pizza,"North Country Elements, LLC",-0.4116389195187838,-0.4685929575804938,-0.2689232393961095,-0.2900408689925755,-0.2836941669765589,-0.3322190980686965,-0.1471310327799685,1
VEGETABLE NAPOLI PIZZA,Pizza,Kings Super Markets Inc,-0.4257977505931395,-0.043019996234566,-0.551014264057183,-0.1371083666255524,-0.2836980863137365,-0.3322168215681283,-0.1471311841685303,1
"VEGGIE PIZZA, VEGGIE",Pizza,Turtle Island Coffee Company,-0.5319889836508075,-0.0440529403155027,-0.3579671234431655,-0.4906080852116222,-0.2836984845583792,-0.3322191717344966,-0.1471308978502899,1
"VEGGIE PIZZA, VEGGIE",Pizza,"Sam Tell & Son, Inc",-0.3337653486098274,-0.0037681211589708,-0.330185431620484,-0.2323777943295996,-0.2836978872019655,-0.3322184832249563,-0.1471310139029951,1
VEGGIE VEGAN PIZZA,Pizza,Against the Grain Gourmet,-0.401019796213017,-0.405583368643354,-0.2325933347049105,-0.247420335546028,-0.2836952670467988,-0.3322192075070379,-0.1471310667363007,1
VEGGIES & FRUITS PIZZA,Pizza,Mr. Beverages Old Time Cocktail Mixes,-0.2311138233207483,0.0489120269688018,-0.0509438112489163,-0.1045161939899573,-0.2836977206229131,-0.3322192921771066,-0.1471310409590024,1
VEGGIES & FRUITS PIZZA,Pizza,Mr. Beverages Old Time Cocktail Mixes,-0.2594314854694598,-0.2155216577509979,-0.3544053680812832,-0.0167680368941244,-0.2836964517908307,-0.3322180089457846,-0.1471311312694506,1
"WEIS, PIZZA BAGELS",Pizza,"Weis Markets, Inc.",-0.3125271019982937,0.4321342809963241,-0.3558300702260361,-0.1421225470310285,-0.2836988241016945,-0.3322182291404623,-0.1471310795640222,1
"WEIS, PIZZA BAGELS",Pizza,"Weis Markets, Inc.",-0.351463887452772,0.4321342809963241,-0.51753376365549,-0.1421225470310285,-0.2836989118667207,-0.332216826084741,-0.1471311142744174,1
WOOD-FRIED PIZZA,Pizza,"Whole Foods Market, Inc.",-0.2948285631553491,0.2689291162083227,-0.2297439304154048,-0.2775054179788851,-0.2836985005039955,-0.3322188522801804,-0.1471309211441112,1
"CHEESE PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, CHEESE",Pizza,"Meijer, Inc.",-0.2027961611720369,0.2265784088899173,-0.0010792361825648,-0.2900408689925755,-0.2836981600012857,-0.3322193550081012,-0.1471308041957675,1
"MISSION PIZZA CO., THIN CRUST PIZZA, COMBINATION, COMBINATION",Pizza,Palermo Villa Inc.,-0.1992564534034479,0.234841961537411,0.0915264032263733,-0.3727748456829322,-0.2836981705431449,-0.3322195647747156,-0.1471306600235535,1
"PALERMO'S, MISSION PIZZA CO., CHEESE THIN CRUST PIZZA",Pizza,Palermo Villa Inc.,-0.2063358689406258,0.2978515504745507,0.0345383174362575,-0.3577323044665038,-0.2836983321122205,-0.3322194527364259,-0.1471306971513437,1
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,The Father's Table LLC,-0.2842094398495823,-0.1380508516807441,-0.2546762179485805,-0.2022927118967426,-0.2836970824816894,-0.3322186995474597,-0.1471309966197208,1
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,Bellisio Foods Inc,-0.2134152844778037,-0.0512835488820598,-0.0010792361825648,-0.2223494335186472,-0.2836972449031424,-0.3322193816613004,-0.1471309050632224,1
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,Target Stores,-0.2027961611720369,-0.0161634501302114,-0.171331142480536,-0.1145445548009096,-0.2836973653008547,-0.3322187976518717,-0.1471310078029817,1
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,"Meijer, Inc.",-0.2027961611720369,-0.0161634501302114,-0.0010792361825648,-0.2599557865597184,-0.2836973653008547,-0.3322193550081012,-0.1471308465701075,1
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,Bellisio Foods Inc,-0.2027961611720369,-0.0161634501302114,-0.0010792361825648,-0.2323777943295996,-0.2836973653008547,-0.3322193550081012,-0.1471308822451957,1
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,Bellisio Foods Inc,-0.2027961611720369,-0.0161634501302114,-0.0010792361825648,-0.2022927118967426,-0.2836973653008547,-0.3322193550081012,-0.1471309181188475,1
